ISSN	CODEN
1007-5704	CNSSFQ
0253-6102	CTPHDI 
0253-9837	THHPD3
1671-5942	DXDIEZ
1001-1552	DGYXEW
0253-0031	TKHPDO
1006-7736	DHDXF3
1000-8608	DLXUEJ
1005-4014	DQXUFL
1000-9957	DSHXEV
1000-1670	DTXBEI
1671-7295	DYDXAF
1000-5676	DYIXEA
1004-499X	DAXUFB
1671-0460	DHAUB9
1009-6809	DSSAAD
1000-1891	DSXUEY
1000-8438	DAHUEW
1000-0712	DAWUE5
1005-0388	DKEXFT
1001-1579	DNCHEP
1008-7923	DGIOAN
1003-8337	DBIIA4
1000-4742	DYHUEU
1001-3849	DYJIE4
1004-227X	DYTUEM
1000-6753	DIJXE5
1001-7194	DJZAEN
1006-3471	DIANFX
1009-279X	DANJET
1000-1026	DXZIE9
1007-0249	DYXUF9
1672-9560	DJZAEN
1000-3673	DIJIES
1002-087X	DIJIFT
1002-7300	DCJIEK
1001-3474	DGJIEE
0258-7998	DJYID7
1001-0548	DKDAEM
0258- 798X	THTPDT
1005-9490	DIQIFU
1000-6281	DXIXF4
0372-2112	TTHPAG
1009-5896	DKXUEC
1001-2028	DYCAFE
0253-4959	DICZEA
0258-897X	DJXUE5
0375-5444	TLHPAS
0379-1726	TCHHCB
1000-2383	DIKEEL
1001-8166	DKJIE8
1672-6561	DKYHA8
0001-5733	OOO498
1006-3021	DIXUFX
1672-9250	DYHIAO
1000-5404	DYXUE8
1000-2790	DJDXEG
1000-3258	DWXUES
1005-2321	DQIIA7
1000-2588	DJUXEX
1003-3246	DDGYEQ
0253-4967	DDIZD4
1000-0666	DYANE8
1008-0244	DDHUFK
1000-7849	DKQIFA
0563-5020	TCKHAO
0371-5736	TCLPAJ
1671-2552	DTIOAC
0001-5717	TCHPAX
0495-5331	TCKTAQ
1671-1947	DYZIAC
1001-1412	DJLUEN
1005-3026	DDXKEZ
1005-2992	DDIXEX
0253-4258	THYPDK
1000-5382	DLDXEU
1000-1832	DSZKEE
1671-0444	DDXZA8
1000-6761	DOGOE5
1671-6264	DDXYA5
1001-0505	DDXUEV
——	DDXZB9
1000-0739	DFXUEB
0001-7302	TWHPA3
0254-5853	DOYADI
0250-3263	TWHCDZ
1000-3940	DUJID9
1672-0121	DZYZAV
——	DZUAA4
0705-3797	EPSDDF
1000-4432	YAXUE3
1000-7032	FAXUEW
1006-8341	FGJXFE
0253-9721	FCHPDI
1000-8098	EEIJDJ
1006-6543	FYGDFU
1001-3784	FYJIEQ
1004-4957	FCEXES
0253-3820	FHHHDT
1006-6144	FKXUFZ
1000-0720	FENSE4
1001-232X	FEYIFU
1001-3555	FECUEN
1000-9035	JMOSE7
1672-416X	FZYEAO
1560-4152	FGRCFO
1008-1321	FSCOAV
1008-0171	FKJXA3
1672-8467	CXYUAO
0427-7104	FHPTAY
1000-3851	FCXUEC
1009-8143	FFCEFH
1001-389X	FLXUE7
0253-2301	FNKED9
1000-5277	FSDKES
1000-2235	FYXUEU
1000-8187	FUFAEM
1000-3436	FYYXEA
1002-6495	FKFJED
1005-748X	FUFAFN
1005-3883	FSXEE8
1672-3813	FXYFAD
1000-2243	FDXKEN
1004-7638	GTFTAB
0449-749X	KATIAR
1001-0963	GAYXEN
1000-3231	GKKHE9 
1000-5889	GGDXES
1727-3080	HGDXAZ
0251-0790	KTHPDM
1003-6520	GAJIE5
1000-7555	GCKGEI
1003-3726	GATOE5
1000-3304	GAXUE9
1002-0470	GTONE8
0254-3052	KNWLD9
1006-7493	GDXUFX
1003-9015	GHGXEG
1000-4424	GYSXEP
1001-1609	GADIE9
1000-5773	GWXUER 
1003-6520	GAJIE5
1672-0229	GPBEBL
1004-9665	GDIXFX
1000-4750	GOLIEB
0253-231X	KCJPDF 
1006-754X	GSXOAB
1001-3539	GSYOAG
1673-2588  	GBKYAR
1000-7008	GONJEO
1002-0268	GJKEER
1001-9731	GOCAEA
1007-4252	GCQXFW
1008-9357	GGXUEH
1008-1143	GOCUF3
1007-7375	GOGOF5
1017-0669	GOGOE4
1002-1639	GOJIF2
1000-7164	GWZHEW
1001-6678	GOWEEK
1009-2455	GYYFAV
1005-829X	GOSHFA
1671-1505	GXUUAF
1003-501X	GUGOEC
1005-0086	GUJIE9
1005-488X	GUJIFA
1000-887X	GKXZEQ
1007-7162	GDAXFR
1007-1865	GHUAFI
1006-446X	GWYKF3
1007-9939	GYUAAU
1006-8783	GYXUF8
1001-9448	GUYIEG
1005-2607	GYYXEL
1003-7837	GYJXFF
1004-8138	GUSHEH
1000-0593	GYGFED
1001-7445	GDXZEB
1003-0840	GUHUF2
1005-9164	GKUEAC
1007-0311	GMXZA2
1008-3464	GNSKB8
1001-6600	GSDXEA
1005-930X	GYDXFJ
1000-3142	GUZHEI
1004-924X	GJGOF4 
1002-1582	GJISEP
0253-2239	GUXUDC
1671-4229	GDXZA7
1001-9677	GUHUEZ
1009-220X	GAHUFW
1000-2596	GSXKE3
1007-3213	GZDXFQ
1004-4213	GUXUED
1671-1505	GXUUAF
1004-0676	GUIJE7
1004-0676	GUIJE7
1006-544X	GGXUFI
1000-2545	GYDXEI
1001-1625	GUTOE9
0454-5648	KSYHA5
1009-0193	GGXKFM
1007-6832	GGDXFT
1004-5570	GSZKFE
1009-606X	CJPEB5
1001-2486	GKDXEM
1673-2588  	GBKYAR
1672-5123	GYZUAD
0496-7194	KTHKA4
1009-9980	GXUUBG
1001-0773	GYSBCP
0001-6616	KSWHAT
1000-3819	GDYJE2
1006-2793	GHJIFL
1001-2214	HYHVE6
1671-8747	HSXUB7
0256-1492	HDYDDS
1005-9865	HAGOFK
1007-6336	HHKEEO
1000-3096	HAKEE9
1060-6647	HKJAAO
0253-4193	HYPADJ
0029-814X	HYHCAG
1005-5053	HCXUFZ
1000-8055	HDOXE5
1000-6893	HAXUDJ
1001-1765	HZGOEO
1000-8756	HGJIEO
1002-0837	HYYGEF
0253-3618	HHHPD7
1001-1382	HACHA8
0253-360X	HHPAD2
1006-9941	HACAFQ
1006-7043	HGHPF2 
0367-6234	HPKYAY
1006-6780	HJDXFR
1000-5897	HKJXET
1007-2683	HLDXF7
1672-0946	HSDXAH
1000-1905	HYDAES
1000-1565	HDXKEB
——	HDXKEB
1000-5358	HGOXEQ
1007-2373	HGXUFT
1008-1534	HGKEFI
——	HJKXAN
1008-9896	HJKXFS
1008-1542	HKDXFY
1007-2829	HLXUFU
1005-0426	HLXUET
1000-1573	HNDBEM
1008-9515	HZJSAD
1001-9383	HKXUEM
1000-5854	HSDKEG
1007-3205	HEDXFQ
1000-1581	HYXUEI
1008-9519	HZJSAD
1005-1511	HEHUE2
1672-4364	HRCEAG
1002-1396	HSSUEJ 
1000-1255	HXGOEA
1001-0041	HXIGEU
0258-0934	HDYUEC
0258-0926	HDGOE6
1003-5060	HGDXB2
1000-1980	HEDXEP
1000-1980	HDXZAI
0253-9950	HHHHDH
1001-7011	HDZXEQ
——	HDEIA8
1671-0118	HLCKAQ
0253-3219	NUTEDL
0254-6086	HYDWDP
0258-0918	HYGODG
1003-4978	HZKEEE
1673-2383	HGDXC3
1003-3467	HEHUF3
1672-9102	HKDXCV
——	HLDXA2
1000-2340	HNDAEJ
1000-2367	HESKER
1000-1069	HEYDE2
1000-2510	HEYXES
1000-8551	HEXUEE
1499-3872	HPDIAJ
1006-6748	HTLEFC
1017-1118	HKBRE5
1001-8891	HOJIEC
1001-9014	HHXUEZ
1007-2691	HDDXFJ
1006-5431	HUGXFH
1006-1088	HCHGEE
——	HCGXAM
0253-9683	HHKPDM
1006-3080	HLIXEV
1006-3080	HLIXEV
1000-5641	HSZKEO
1000-2170	HYEXEY
1006-7779	HUGOFO
1004-8901	HSUHAK
1006-1878	HUHUFD
1000-6613	HUJIEK
1671-9905	HJYKAK
0254-6094	HUJIDJ
1008-0511	HUKEFE
1008-7524	HUKJFT
1006-6829	HSYJAC
1002-154X	HUSHFT
1006-3536	HXCUA4
0438-1157	HUKHAI
1000-3932	HZJYEZ
1672-6685	HGXKFX
1672-6685	HGXZA5
1671-6876	HSXUA6
1007-3701	HUKUFS
1000-565X	HLDKEZ 
1001-411X	HNXUE9
——	HNDXBH
——	HNDXAG
1000-5463	HSDZER
1001-1277	HANGFV
0253-9705	HCPHDM
1000-8942	HGONEU
0254-6108	HUHUDB
0250-3301	HCKHDV
0253-2468	HKXUDL
1001-6929	HKYAEZ
1001-3865	HWYAEW
1008-9241	HWZJAB
1001-5914	HYJZAR
1000-3617	HYZYAZ
1000-5013	HDZIEF
1000-1182	HKYZA4
1006-0103	HYZAEZ
0257-7712	HYDXET
0441-3768	HUHSAZ
1008-2298	HUCHEG
1001-7631	HFGGEU
1008-6145	HFJUAF
1005-9954	HUGOEN
1004-9533	HGGOER
1006-7906	HGGJFD
1004-1672	HUJIFL
1005-281X	HJINEL
0258-3283	HUSHDR
0367-6358	HUAKAB
0441-3776	HHTPAU
1003-7713	HWXUE4
0567-7351	HHHPA4
1008-1011	HUYAF4
1004-1656	HYYIFM
1001-0017	HYZHEN
1672-5425	HYSGAF
1003-739X	HJIAEG
1672-0741	HKDXBU
1671-4512	HKDXAT
1000-8616	HLDXE6
1000-2421	HNDXEK
1000-1190	HDZKEL
1000-2375	HDXZEM
1004-0404	HHUUAG
1008-8423	HBMZAH
1008-0724	HYDXFU
1672-7304	HCXZAB
1000-943X	HDXUE7
1000-2472	HDAXE3
1000-6074	HJUUEY
1000-2480	HYXBET
1672-9102	HKDXCV
1672-5298	HNLGA5
1007-1032	HNDXFL
1000-2537	HSDXEL
1672-6146	HWXUAY
1000-5625	HYXBET
1001-9421	HUYIER
1003-1480	HUOGE5
1672-9374	HJUUAW
1013-767X	HJISE2
1007-7812	HUXUFP
1003-5427	HKUEO
1001-6279	IJSEFM
1000-9752	JSXUEW
1671-7775	JDXZA6
1003-6474	JDIIAG
——	JGXUBD
1002-1116	JHIUAC
1007-1741	JLDXFT
1005-8893	JSHXFU
0253-3865	CIYADX
1000-2286	JNXUEV
1000-5862	JSXKF3
1000-2294	JYIXE8
——	JYIIAR
1007-9629	JCXUFN
1002-848X	JJIEEG
1000-6869	JJXUD2
1007-7073	JIYJF3
0577-7402	CFCHBN
0254-5861	JHUADF
1026-325X	CMKCEW
1006-2947	JJIIBP
0529-1356	CPHPA5
1001-1633	JZAZEF
1001-3806	JJISEO
1007-7146	JSXUFX
1001-5078	JIHOEY
0253-2743	JIZAEE
1000-1158	JIXUEU
1671-5888	JDXDA8
1671-5497	JDXGAH
1671-5489	JDXLAW
1671-587X	JDXYA3
0259-0279	CLTTDI
1006-2939	JGXZAR
1007-2853	JHXUFO
1009-0185	JJGXAP
1000-5684	JNDXE8
1671-3559	JDXIAN
1000-9965	JDXUET
1006-852X	JMMGFU
1009-0177	JSJSAK
1003-5214	JIHUFJ
1009-9212	JHZIAR
1003-9384	JSHIBF
1008-1100	JYZHA7
1000-9760	JYXUE6
1001-1250	JIKUFY
0254-6051	JRECDB
0254-587X	JRXUDO
0412-1961	CHSPA4
1007-533X	JZSXAR
1000-5161	JYXBEH
1002-0446	JIQIER
1005-0507	JYYKAB
1007-2985	JDXKFY
0254-5888	CSYLDY
1002-8471	JIPAEW
1007-4708	JLXIAB
1001-246X	JIWUEP
1003-9775	JFTXFX
1000-3428	JISGEV
1007-130X	JGKEF6
1002-8331	JGYYAT
1006-5911	JJZXFN
0254-4164	JIXUDT
1000-1239	JYYFEY
1001-4160	JYYHE6
1004-2539	JICHEM
1000-3738	JGCAEL
0577-6686	CHHKA2
1003-8728	JKJIE6
1001-9669	JQIAEJ
1028-6020	JANRFI
1004-0579	JBITE5
1021-7770	JBCIEA
1005-9784	JCSTFT
1001-1484	JCTUE2
1002-0705	JCUGEX
1006-1266	JCUMAD
1003-1057	JCHSE4
1671-8224	JCUEAN
0254-9409	JCMMEB
1000-9000	JCTEEM
1672-5220	JDHUAD
1001-0742	JENSEE
1007-662X	JFREAT
——	JGUTFX
1005-9113	JHITED
1672-0733	JHUSAW
1672-0733	JHUSAW
1001-6058	JOUHEI
1016-2364	JINEEY
1672-9072	JIPBAV
1006-706X	JISIF4
1005-0302	JSCTEQ
	 JMOEAT
1000-1948	JMCPE6
0929-6441	JMEUEV
1684-1182	JMIIFG
1003-9953	JGCHE8
1006-8104	JNAUFJ
1672-5182	JOUCBY
1022-5536	JOTSEC
1000-940X	JPDEEX
1022-9760	JPOREP
1002-0721	JREAE6
1001-6686	SYDAFE
1007-6417	JSUNFV
1003-7985	JSUOAT
1009-6124	SMASE2
0009-4536	JCCTAC
0368-1653	JCICAP
0253-3839	JCIEEZ
1762-4019	JCMAB6
0929-6646	JFASEO
0256-257X	QJTMAW
1003-2169	JTSCES
0257-716X	JTMUEI
1005-8850	JSTBFO
1000-2413	JWUTE8
1000-923X	JXMUEC
1009-3095	JZUSFR
1673-1581	JZUSAM
1000-5501	JYKYEL
1007-3515	JUXIFB
1672-6472	JXUUAE
1672-3538	JYUAAJ
1008-8261	JGUOAD
1607-551X	KJMSFM
0257-5655	KHHCE2
——	KFEAAV
——	KHFKDF
0023-074X	KHTPAT
0254-6124	KKXUDK
0258-1825	KDXUE6
1000-8152	KLYYEB
01676423	KYJUEF
1003-9872	KYOIAY
1671-7651	KYYOBZ
1000-6532	KZLIEU
0258-7106	KUDIDM
1000-4734	KUXUEN
1001-6872	KUYAE2
1007-2802	KYHTF3
1005-7854	KUANEN
0451-0011	KNGYAX
0253-6099	KUGODL
1005-2763	KYYKEQ
0454-6296	KCHPAZ
0452-8255	KCCSAK
——	KLDXAZ
1001-3717	LNXUEJ
0455-2059	LCTHAF
1673-5196	LLDXAC
1007-5461	LDXUFI
LJYGAI	LJYGAI
1002-106X	LISHEM
1000-5846	LDXZAS
——	LGJDAF
1008-0562	LGDXFG
1000-1735	LSDKEQ
1672-6952	LSHDAL
1001-4020	LJHFE2
1005-3433	LHTIAJ
0253-2417	 LHYGD7 
1000-3606	LEZIAS
1001-764X	LJZNAA
1000-4963	LPZAEH
1000-4963	LSZIAO
1001-7399	LYSBAA
1007-6220	LYFUF7
1001-7488	LYKSAL
1001-1498	LKYAEB
1002-1507	LIGOEH
1007-3124	LLSCFT
1000-0992	LIJIEE
0459-1879	CHHPAE
1000-0879	LYSHDV
1001-5493	LJYXE5
1006-8171	LUGOFY
1000-2669	LYIXEU
1003-1456	MKAEAC
1005-9598	MHUAEF
1003-0794	MTIXEA
1008-8725	MJEIA3
0253-9993	MTHPDA
1004-4248	MEZHE6
1001-1986	MDYKE3
1528-5189	MZGYA3
1001-7415	MFJIAY
1000-8861	MIZAED
1007-8924	MKYJEF
1004-0595	MAXUE7
1003-6059	MRZHET
1001-1935	NACAEN
1672-6030	NJYJAF
1006-0456	NDXGAR
1007-1229	NYEXEW
1673-4254	NYDXAN
——	NDXYAD
0469-5097	NCHPAZ
1671-7643	NGDXAX
1005-2615	NHHXEU
1007-7537	NHDXA6
——	NLIXET
——	NLDXAY
1000-2006	NALDE9
1000-2030	NNDXEI
1001-4616	NSXZEN
1672-1292	NSDXAF
1000-7275	NTYXET
0254-5055	NYXUDF
1007-4368	NYDXFS
1000-5331	NAYXEW
1000-1972	NYXUEG
1000-5005	NZDXAU
0465-7942	NDXZAG
1555?4880	NANODH
1671-5314	NGXZA3
1000-2057	NYIXEI
1671-6132	NSXUA4
0077-5819	KTNYAB
1000-1638	NDZKEJ
1001-5167	NGDXF4
1003-7896	NELXET
1001-8727	NNXBEL
1001-8735	NSXKEC
1004-2113	NYXBER
1000-0925	NEGOEB
1000-0909	NEXUEC
0379-7326	NYCKAD
1008-8857	NYYXFV
1002-8110	NIANE6
0253-2328	NDXKD8
1671-7244	NGJIBJ
1671-3058	NSHICQ
1001-5906	NSHOCA
1006-0413	NONGFP
1002-5480	NKYGEH
1008-7303	NXOUAS
1002-6819	NGOXEO
1672-2043	NHKXA7
1000-1298	NUYCA3
1006-1304	NSJXAB
1001-8042	NSETEC
1002-0160	PDOSEA
1672-5107	PSECCF
1004-8960	PIHUFH
1004-7964	PKYGF6
1009-0630	PSTHC3
1002-0071	PNASEA
1001-4322	QYLIEL
1000-680X	QIGOE4
1001-5884	QIJIF2
1006-9798	QDGJFN
1006-1037	QDXKF9
1672-4488	QDYXAE
1001-1862	QHDXE9
1001-4764	QHUXEQ
1672-6987	QKDXAQ
1001-4047	QYXUEF
0577-9189	CHHPAH
1000-0054	QDXKE8
1001-5337	QSDXEI
