CODEN	ISSN	Serial Title	Publisher Name	
AEERE3	0192-558X	Advances in the Economics of Energy and Resources	"JAI Press, Inc."	
AWREDI	0309-1708	Advances in Water Resources	Elsevier Science Ltd	
ADMIFA		Advancing Microelectronics	International Microelectronics and Packaging Society	
AEJAEB	1110-0118	AEJ - Alexandria Engineering Journal	Alexandria University	
AENJAK	0001-9240	Aeronautical Journal	Royal Aeronautical Soc	
ASPPEE	0941-0295	Aerosol and Spray Report	Huethig GmbH	
AEEUEC	0943-4798	Aerosol Europe	Melcher Verlag GmbH	
ASTYDQ	0278-6826	Aerosol Science and Technology	Elsevier Science Inc	
AESPEX	0305-0831	Aerospace (London)	Royal Aeronautical Soc	
AEAME2	0740-722X	Aerospace America	AIAA	
AEENEP	0736-2536	"Aerospace Engineering (Warrendale, Pennsylvania)"	SAE	
002748		Aerospace Science and Technology	Dunod	
JAEAFO	0004-7554	AES: Journal of the Audio Engineering Society	"Audio Engineering Soc,Inc."	
AEUTAH	1434-8411	"AEU, Archiv fuer Elektronik und Uebertragungstechnik: International Journal   of Electronics and Communications"	S. Hirzel Verlag GmbH & Co	
AEUNAX	0385-0447	AEU: Journal of Asia Electronics Union	Dempa Publ Inc	
002327	1088-5900	AFE Facilities Engineering Journal	AFE	
ATEXDN	0144-7421	African Textiles	Alain Charles Publ Ltd	
001925	0300-7472	Afterimage	Visual Stud Workshop	
AGREFA	0738-145X	Agricell Report	Agritech Consult Inc	
002215	0168-1923	Agricultural and Forest Meteorology	Elsevier Science Publishers B.V.	
002258	0269-2457	Agriculture & Equipment International	Agraria Press	
AEENDO	0167-8809	"Agriculture, Ecosystems and Environment"	Elsevier Science B.V.	
AGSYE6	0167-4366	Agroforestry Systems	Kluwer Academic Publishers	
AGJOAT	0002-1962	Agronomy Journal	American Soc of Agronomy Inc	
AISCEM	0951-5666	AI & Society	Springer-Verlag London Ltd.	
ACMMEE	0921-7126	AI Communications	IOS Press	
AIMAEK	0738-4602	AI Magazine	AAAI	
000033		AIAA Atmospheric Flight Mechanics Conference	AIAA	
000847		AIAA Computers in Aerospace Conference	AIAA	
000240		"AIAA Guidance, Navigation and Control Conference"	AIAA	
AIAJAH	0001-1452	AIAA Journal	AIAA	
000250		AIAA Lighter-Than-Air Systems Technology Conference	AIAA	
000349		AIAA/AHA Astrodynamics Conference	AIAA	
ADACFY		AIAA/IEEE Digital Avionics Systems Conference - Proceedings	IEEE	
000633		AIAA/IKI Microgravity Science Symposium	AIAA	
AICEAC	0001-1541	AIChE Journal	AIChE	
ACSSCQ	0065-8812	AIChE Symposium Series	AIChE	
AFORCO	0730-6784	Air Force Magazine	Air Force Association	
APOCEH	1058-6628	Air Pollution Consultant	Elsevier Science Inc	
003190	1369-8869	Aircraft Design	Elsevier Sci Ltd	
AATEEB	0002-2667	Aircraft Engineering and Aerospace Technology	MCB Univ Press Ltd	
002573		Aizu International Symposium on Parallel Algorithms/Architecture Synthesis	IEEE	
AKZHAE	0320-7919	Akusticheskii Zurnal	Izdatel'stvo Nauka	
ATREFX	1267-7167	Alcatel Telecommunications Review	Alcatel Alsthom Publications	
ARTHF4	1386-923X	Algebras and Representation Theory	Kluwer Academic Publishers	
ALGOEJ	0178-4617	Algorithmica (New York)	Springer-Verlag New York Inc.	
002888	0002-5917	Allgemeine Papier-Rundschau: APR	P. Keppler Verlag KG	
ARELE8	1120-1908	Alta Frequenza Rivista Di Elettronica	AEI	
ALUMAB	0002-6689	Aluminium (Dusseldorf)	Aluminium-Verlag GmbH	
ALTOEG	0955-8209	Aluminium Today	DMG Bus Media Ltd	
AMAADL	0084-5841	"AMA, Agricultural Mechanization in Asia, Africa and Latin America"	Farm Mach Ind Res Corp	
ATINEE	0890-9970	America's Textiles International	Billian Publ Inc	
AASTBE	0278-4017	"American Astronautical Society, Scientific Technology Series"	Univelt Inc	
ABLAEY	0749-3223	American Biotechnology Laboratory	Int Sci Commun Inc	
ACSBA7	0002-7812	American Ceramic Society Bulletin	American Ceramic Soc	
ACPCAT	0569-3799	"American Chemical Society, Division of Petroleum Chemistry, Preprints"	ACS	
ACPPAY	0032-3934	"American Chemical Society, Polymer Preprints, Division of Polymer Chemistry"	ACS	
AMECAA	0002-7928	American Cinematographer	Am Soc Cinematogr	
ACCOD3	0149-337X	American City & County	Premedia Intertec	
ADREAI	0002-8266	American Dyestuff Reporter	SAF Int Publ Inc	
AMFOAH	0002-8541	American Forests	Am Forests	
AMGLEH	1043-0652	American Gas	American Gas Assoc	
AMIKAK	0002-8916	American Ink Maker	Cygnus Publ Inc	
AJAEBA	0002-9092	American Journal of Agricultural Economics	American Agricultural Economics Association	
AJAAEZ	0889-1893	American Journal of Alternative Agriculture	"Institute of Alternative Agriculture, Inc."	
AJETA6	0002-9238	American Journal of Electroneurodiagnostic Technology	ASET	
AMMSDX	0196-6324	American Journal of Mathematical and Management Sciences	American Sciences Press Inc	
AJPREP	0894-9115	American Journal of Physical Medicine & Rehabilitation	Williams & Wilkins Co	
AJPIAS	0002-9505	American Journal of Physics	American Association of Physics Teachers	
AJSCAP	0002-9599	American Journal of Science	Kline Geology Lab	
ALBYBL	0044-7749	American Laboratory	Int Sci Commun Inc	
AMMAAA	1041-7958	American Machinist	Penton Publ Inc	
AMMYAE	0002-9890	American Mathematical Monthly	Mathematical Association of America	
AMNTA4	0003-0147	American Naturalist	University of Chicago Press	
AMPRFD	1048-5600	American Programmer	Cutter Information Corp.	
AMSCAC	0003-0996	American Scientist	Sigma Xi Sci Res Soc	
001510		American Society of Civil Engineers - Task Committee Reports	ASCE	
ASMSA4	0402-1215	American Society of Mechanical Engineers (Paper)	ASME	
AMENED		American Society of Mechanical Engineers (Publication) NDE	ASME	
AMEAE8		"American Society of Mechanical Engineers, Advanced Energy Systems Division   (Publication) AES"	ASME	
ASADD4	0733-4230	"American Society of Mechanical Engineers, Aerospace Division (Publication) AD"	ASME	
AMDVAS	0160-8835	"American Society of Mechanical Engineers, Applied Mechanics Division, AMD"	ASME	
ASMBEP		"American Society of Mechanical Engineers, Bioengineering Division   (Publication) BED"	ASME	
AMEDEH		"American Society of Mechanical Engineers, Design Engineering Division   (Publication) DE"	ASME	
ASMDEV		"American Society of Mechanical Engineers, Dynamic Systems and Control   Division (Publication) DSC"	ASME	
EEAEEM		"American Society of Mechanical Engineers, EEP"	ASME	
ECCCEC		"American Society of Mechanical Engineers, Environmental Control Division   Publication, EC"	ASME	
FEDSDL		"American Society of Mechanical Engineers, Fluids Engineering Division   (Publication) FED"	ASME	
AMFFES		"American Society of Mechanical Engineers, Fuels and Combustion Technologies   Division (Publication) FACT"	ASME	
ASMHD8	0272-5673	"American Society of Mechanical Engineers, Heat Transfer Division,   (Publication) HTD"	ASME	
002549		"American Society of Mechanical Engineers, Information Storage and Processing   Division, ISPS"	ASME	
AMEIEW		"American Society of Mechanical Engineers, Internal Combustion Engine Division   (Publication) ICE"	ASME	
AMGIE8		"American Society of Mechanical Engineers, International Gas Turbine Institute   (Publication) IGTI"	ASME	
002548		"American Society of Mechanical Engineers, Manufacturing Engineering Division,   MED"	ASME	
MHDEEA		"American Society of Mechanical Engineers, Material Handling Division, MHD"	ASME	
AMEMD9		"American Society of Mechanical Engineers, Materials Division (Publication) MD"	ASME	
ASMNER		"American Society of Mechanical Engineers, Noise Control and Acoustics   Division (Publication) NCA"	ASME	
AMDNE8		"American Society of Mechanical Engineers, Nuclear Engineering Division   (Publication) NE"	ASME	
AEPEBG		"American Society of Mechanical Engineers, Performance Test Codes"	ASME	
ASMPEX		"American Society of Mechanical Engineers, Petroleum Division (Publication) PD"	ASME	
AMEPEJ		"American Society of Mechanical Engineers, Power Division (Publication) PWR"	ASME	
AMPPD5	0277-027X	"American Society of Mechanical Engineers, Pressure Vessels and Piping   Division (Publication) PVP"	ASME	
ASMDDU		"American Society of Mechanical Engineers, Production Engineering Division   (Publication) PED"	ASME	
RTDDEA		"American Society of Mechanical Engineers, Rail Transportation Division   (Publication) RTD"	ASME	
ASMSE8		"American Society of Mechanical Engineers, Solar Energy Division (Publication)   SED"	ASME	
TSSSE9		"American Society of Mechanical Engineers, Technology and Society Division   (Publication) TS"	ASME	
85PFAJ		"American Society of Mechanical Engineers, The Fluid Power and Systems   Technology Division (Publication) FPST"	ASME	
002547		"American Society of Mechanical Engineers, Tribology Division, TRIB"	ASME	
AMIREB	1015-0951	Amirkabir (Journal of Science and Technology)	Amirkabir Univ Technol	
ASAFB8	0149-3701	Ammonia Plant Safety (and Related Facilities)	AIChE	
002449		AMS-IMS-SIAM Joint Summer Research Conference	Soc for Industrial & Applied Mathematics Publ	
AICPEF	0925-1030	Analog Integrated Circuits and Signal Processing	Kluwer Academic Publishers	
ANLSCY	0365-4877	Analusis	EDP Sci	
ANMADK	0133-3852	Analysis Mathematica	Akademiai Kiado	
000086		Analysis of Concrete Structures by Fracture Mechanics - Proceedings of the   International RILEM Workshop	Chapman & Hall Ltd	
ACACAM	0003-2670	Analytica Chimica Acta	Elsevier Science Publishers B.V.	
ANCHAM	0003-2700	Analytical Chemistry	ACS	
ANALBP	0003-2719	Analytical Letters	Marcel Dekker Inc	
ACIEAY	0570-0833	Angewandte Chemie (International Edition in English)	Wiley-VCH Verlag GmbH	
ANMCBO	0003-3146	Angewandte Makromolekulare Chemie	Huethig & Wepf Verlag	
ANBTEN	1049-5398	Animal Biotechnology	Marcel Dekker Inc	
ANPYA2	0003-3804	Annalen der Physik (Leipzig)	Wiley-VCH Verlag Berlin GmbH	
ANCPAC	0151-9107	Annales de Chimie: Science des Materiaux	Masson - Periodiques	
001995	0294-1449	Annales De L'Institut Henri Poincare. Annales: Analyse Non Lineaire/Nonlinear   Analysis	Gauthier-Villars	
AFLBDV	0182-4295	Annales de la Fondation Louis de Broglie	Fondation Louis de Broglie	
ANPHAJ	0003-4169	Annales de Physique (Paris)	Editions de Physique	
ANTEAU	0003-4347	Annales des Telecommunications/Annals of Telecommunications	Presses Polytechniques Et Universitaires Romandes	
ANNGEA	0992-7689	Annales Geophysicae	Springer-Verlag GmbH & Company KG	
ASSVBA	0390-0010	"Annali dell,Instituto Sperimentale per la Selvicoltura"	Instituto Spermimentale Selvicoltura	
ANCRAI	0003-4592	Annali di Chimica	Societa Chimica Italiana	
ABMECF	0090-6964	Annals of Biomedical Engineering	Am Inst Phys	
AMAIEC	1012-2443	Annals of Mathematics and Artificial Intelligence	Baltzer Science Publishers B.V.	
ANENDJ	0306-4549	Annals of Nuclear Energy	Elsevier Science Ltd	
AOHYA3	0003-4878	Annals of Occupational Hygiene	Elsevier Science Ltd	
AOREEV	0254-5330	Annals of Operations Research	Baltzer Science Publishers B.V.	
APNYA6	0003-4916	Annals of Physics	Acad Press Inc	
ANNSA8	0003-3790	Annals of Science	Taylor & Francis Ltd	
ANICD6	0146-6453	Annals of the ICRP (International Commission on Radiological Protection)	Elsevier Science Ltd	
002173		"Annual ACM Conference on Assistive Technologies, Proceedings"	ACM	
AASAES		Annual ACM Symposium on Parallel Algorithms and Architectures	ACM	
000148		Annual Broadband Exposition and Fiber Optic Communications and Local Area   Networks Exposition	Information Gatekeepers Inc	
CMSCE4		Annual Computer Security Applications Conference	IEEE	
002407		Annual Conference of the North American Fuzzy Information Processing Society   - NAFIPS	IEEE	
002334		Annual Device Research Conference Digest	IEEE	
PFASDL	0733-4249	Annual Forum Proceedings - American Helicopter Society	American Helicopter Soc	
ASTSFA	1065-2221	Annual IEEE Semiconductor Thermal Measurement and Management Symposium	IEEE	
000019		Annual International Bridge Conference	Engineers' Soc of Western Pennsylvania	
PNICDZ	0317-168X	Annual International Conference - Canadian Nuclear Association	Can Nucl Assoc/Can Nucl Soc	
CEMBAD	0589-1019	Annual International Conference of the IEEE Engineering in Medicine and   Biology - Proceedings	IEEE	
85PGAM		Annual International Conference on Universal Personal Communications - Record	IEEE	
AICSEO		Annual International Conference Proceedings - American Production and   Inventory Control Society	APICS	
ANDIEY	5617-1099	Annual ISA Analysis Division Symposium - Proceedings	Instrument Society of America	
AMCMEY		Annual Meeting - Council of Logistics Management	Council of Logistics Management	
PMCADQ	0316-6732	"Annual Meeting - Technical Section, Canadian Pulp and Paper Association,   Preprints"	Canadian Pulp & Paper Assoc	
002362		Annual Meeting of NSS	Nuclear Society of Slovenia	
ARLPBI	0099-9512	Annual Proceedings - Reliability Physics (Symposium)	IEEE	
AQCTEF		Annual Quality Congress Transactions	ASQ	
002566		Annual Quest for Quality and Productivity in Health Services Conference	IIE	
003099		"Annual Recycling Conference, ARC"	Soc Plast Eng	
KURAAV	0454-9244	"Annual Reports of the Research Reactor Institute, Kyoto University"	Kyoto Univ	
NMRPAJ	0066-4103	Annual Reports on N M R Spectroscopy	Academic Press Inc	
AREPCI	0084-6597	Annual Review of Earth and Planetary Sciences	Annual Reviews Inc	
ANEEER	1056-3466	Annual Review of Energy and the Environment	Annual Reviews Inc	
ARVFA3	0066-4189	Annual Review of Fluid Mechanics	Annual Reviews Inc	
ARMSCX	0084-6600	Annual Review of Materials Science	Annual Reviews Inc	
ARPSDF	0163-8998	Annual Review of Nuclear and Particle Science	Annual Reviews Inc	
ARPLAP	0066-426X	Annual Review of Physical Chemistry	Annual Reviews Inc	
CPCEFK		Annual Review of Progress in Applied Computational Electromagnetics	Applied Computational Electromagnetics Soc	
ARCOF8	1367-5788	Annual Reviews in Control	Elsevier Science Ltd	
000592		Annual Symposium on Chemical Aspects of Enzyme Biotechnology: Fundamentals	Plenum Publ Corp	
ASFPDV	0272-5428	Annual Symposium on Foundations of Computer Science - Proceedings	IEEE	
ACPED4		"Annual Technical Conference - ANTEC, Conference Proceedings"	Soc Plast Eng	
000069		Annual Technical Conference of the British Computer Society Specialist Group   on Expert Systems	Cambridge Univ Press	
002673		"Annual Wireless Communications Conference, Proceedings"	IEEE	
ASSTE7		ANSI/ASCE Standard	ASCE	
ASEPER	8755-1187	"ANSI/ASCE Standards, Engineering Practices, and Data"	ASCE	
ANTSE8	0954-1020	Antarctic Science	Blackwell Scientific Publishers	
ACMEBL	0003-5599	Anti-Corrosion Methods and Materials	MCB Univ Press Ltd	
ACCHEH	0956-3202	Antiviral Chemistry & Chemotherapy	Blackwell Sci Ltd	
002898	1328-2573	AP Australian Printer	Calmor & Assoc Pty Ltd	
ASCPEH		APCA Specialty Conference Proceedings SP	Air & Waste Management Assoc	
APXJAB	0084-7534	APEA Journal	Australian Petroleum Exploration Assoc	
003066		APPITA Annual General Conference	Appita Inc	
APJOES	1038-6807	Appita Journal	Appita Inc	
APLCBX	0003-6781	Appliance	"Dana Chase Publications, Inc."	
AAECEW	0938-1279	"Applicable Algebra in Engineering, Communications and Computing"	Springer-Verlag GmbH & Company KG	
000037		Application of Advanced Material Technology in Fluid Machinery	Prof Eng Publ Ltd	
000013		Application of Multivariable System Techniques - AMST	Elsevier Applied Science Publ Ltd	
AAIEEO		Applications of Artificial Intelligence in Engineering	Computational Mechanics Inc	
APMTEO	0862-7940	Applications of Mathematics	Acad Sci Czech Rep	
000135		Applications of Statistics in Medicine	Oxford Univ Press	
AACOBL	0003-682X	Applied Acoustics	Elsevier Science Ltd	
ACOHE9	1063-5203	Applied and Computational Harmonic Analysis	Acad Press Inc	
AEMIDF	0099-2240	Applied and Environmental Microbiology	American Society for Microbiology	
ATELEM	0954-6642	Applied and Theoretical Electrophoresis: The Official Journal of   International Electrophoresis Society	Electrophoresis Soc	
AAINEH	0883-9514	Applied Artificial Intelligence	Taylor & Francis Ltd	
ABIBDL	0273-2289	Applied Biochemistry and Biotechnology	Humana Press Inc	
AAPAED	0920-5268	Applied Cardiopulmonary Pathophysiology	Kluwer Academic Publishers	
ACAGE4	0926-860X	Applied Catalysis A:General	Elsevier Science Publishers B.V.	
ACBEE3	0926-3373	Applied Catalysis B:Environmental	Elsevier Science Publishers B.V.	
ACASE6	0927-2852	Applied Categorical Structures	Kluwer Academic Publishers	
ACLSER	0169-1317	Applied Clay Science	Elsevier Science Publishers B.V.	
APCMEL	0929-189X	Applied Composite Materials	Kluwer Academic Publishers	
JCSOED	1054-4887	Applied Computational Electromagnetics Society Journal	Applied Computational Electromagnetics Soc	
002318	1056-9170	Applied Computational Electromagnetics Society Newsletter	Applied Computational Electromagnetics Soc	
APENDX	0306-2619	Applied Energy	Elsevier Science Ltd	
APENEY	1068-7181	"Applied Energy Research: Russian Journal of Fuel, Power, and Heat Systems"	Allerton Press Inc	
AEAGEI	0883-8542	Applied Engineering in Agriculture	ASAE	
AERGBW	0003-6870	Applied Ergonomics	Elsevier Science Ltd	
APPGEY	0883-2927	Applied Geochemistry	Elsevier Science Ltd	
APITE4	0924-669X	Applied Intelligence	Kluwer Academic Publishers	
APMREI	0937-9347	Applied Magnetic Resonance	Springer-Verlag GmbH & Company KG	
AMMODL	0307-904X	Applied Mathematical Modelling	Elsevier Science Inc	
AMHCBQ	0096-3003	Applied Mathematics and Computation (New York)	Elsevier Science Inc	
AMMEEQ	0253-4827	Applied Mathematics and Mechanics (English Edition)	Shanghai Univ	
AMOMBN	0095-4616	Applied Mathematics and Optimization	Springer-Verlag New York Inc.	
AMLEEL	0893-9659	Applied Mathematics Letters	Elsevier Science Ltd	
AMREAD	0003-6900	Applied Mechanics Reviews	ASME	
AMWIEK	1075-0207	Applied Microwave and Wireless	Noble Publ Corp	
ANMAEL	0168-9274	Applied Numerical Mathematics	Elsevier Science Publishers B.V.	
AOCRDS	0141-1187	Applied Ocean Research	Elsevier Science Ltd	
